Category,Department + Course Number,Distributions
ALC,CLASS 3655,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 3676,"['KCM-AS', 'ALC-AS']"
ALC,CLASS 3727,"['HA-AS', 'ALC-AS']"
ALC,CLASS 3735,"['ALC-AS', 'CA-AS']"
ALC,CLASS 3741,"['ALC-AS', 'CA-AS']"
ALC,CLASS 4626,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 4632,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 4644,"['ALC-AS', 'CA-AS']"
ALC,CLASS 4670,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 4702,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 4716,"['LA-AS', 'ALC-AS']"
ALC,CLASS 4744,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 4746,"['HA-AS', 'ALC-AS']"
ALC,CLASS 4752,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 4755,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,CLASS 4756,"['CA-AS', 'ALC-AS']"
ALC,CLASS 4803,"['CA-AS', 'ALC-AS']"
ALC,COGST 1212,"['CA-AS', 'ALC-AS']"
ALC,COGST 4150,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
ALC,COGST 4510,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 2000,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 2004,"['CA-AS', 'ALC-AS']"
ALC,COML 2006,"['ALC-AS', 'CA-AS']"
ALC,COML 2009,"['CA-AS', 'ALC-AS']"
ALC,COML 2020,"['LA-AS', 'ALC-AS']"
ALC,COML 2030,"['LA-AS', 'ALC-AS']"
ALC,COML 2032,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 2034,"['LA-AS', 'ALC-AS', 'PHS-AS']"
ALC,COML 2035,"['ALC-AS', 'CA-AS']"
ALC,COML 2036,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,COML 2050,"['LA-AS', 'ALC-AS']"
ALC,COML 2051,"['LA-AS', 'ALC-AS']"
ALC,COML 2235,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,COML 2241,"['ALC-AS', 'CA-AS']"
ALC,COML 2251,"['HA-AS', 'ALC-AS']"
ALC,COML 2293,"['LA-AS', 'ALC-AS']"
ALC,COML 2350,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,COML 2703,"['CA-AS', 'ALC-AS']"
ALC,COML 2728,"['LA-AS', 'ALC-AS']"
ALC,COML 2754,"['LA-AS', 'ALC-AS']"
ALC,COML 2760,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 3001,"['LA-AS', 'ALC-AS']"
ALC,COML 3006,"['CA-AS', 'ALC-AS']"
ALC,COML 3017,"['CA-AS', 'ALC-AS']"
ALC,COML 3021,"['LA-AS', 'ALC-AS']"
ALC,COML 3026,"['LA-AS', 'ALC-AS']"
ALC,COML 3042,"['LA-AS', 'ALC-AS']"
ALC,COML 3240,"['CA-AS', 'ALC-AS']"
ALC,COML 3261,"['LA-AS', 'ALC-AS']"
ALC,COML 3262,"['CA-AS', 'ALC-AS']"
ALC,COML 3300,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 3314,"['LA-AS', 'ALC-AS']"
ALC,COML 3336,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,COML 3378,"['LA-AS', 'ALC-AS']"
ALC,COML 3440,"['LA-AS', 'ALC-AS']"
ALC,COML 3458,"['CA-AS', 'ALC-AS']"
ALC,COML 3485,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,COML 3512,"['CA-AS', 'ALC-AS']"
ALC,COML 3535,"['LA-AS', 'ALC-AS']"
ALC,COML 3541,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 3542,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 3550,"['LA-AS', 'ALC-AS']"
ALC,COML 3580,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,COML 3636,"['LA-AS', 'ALC-AS']"
ALC,COML 3681,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 3688,"['LA-AS', 'ALC-AS']"
ALC,COML 3702,"['LA-AS', 'ALC-AS']"
ALC,COML 3708,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 3744,"['LA-AS', 'ALC-AS']"
ALC,COML 3800,"['LA-AS', 'ALC-AS']"
ALC,COML 3811,"['LA-AS', 'ALC-AS']"
ALC,COML 3820,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,COML 3840,"['LA-AS', 'ALC-AS']"
ALC,COML 3891,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,COML 3985,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,COML 4002,"['LA-AS', 'ALC-AS']"
ALC,COML 4015,"['LA-AS', 'ALC-AS']"
ALC,COML 4060,"['LA-AS', 'ALC-AS']"
ALC,COML 4090,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 4211,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 4221,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 4229,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 4240,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 4250,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 4251,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 4281,"['ALC-AS', 'CA-AS']"
ALC,COML 4312,"['ALC-AS', 'CA-AS']"
ALC,COML 4353,"['CA-AS', 'ALC-AS']"
ALC,COML 4354,"['LA-AS', 'ALC-AS']"
ALC,COML 4368,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 4415,"['LA-AS', 'ALC-AS']"
ALC,COML 4423,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,COML 4429,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,COML 4451,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 4471,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,COML 4615,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,COML 4627,"['CA-AS', 'ALC-AS']"
ALC,COML 4628,"['LA-AS', 'ALC-AS']"
ALC,COML 4771,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,COML 4809,"['LA-AS', 'ALC-AS']"
ALC,COML 4860,"['LA-AS', 'ALC-AS']"
ALC,COML 4902,"['CA-AS', 'ALC-AS']"
ALC,COML 4995,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,COML 4996,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,ENGL 1100,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2000,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2010,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2020,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2035,"['ALC-AS', 'CA-AS']"
ALC,ENGL 2060,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2080,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2100,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 2130,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2270,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2350,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 2400,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2410,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2512,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,ENGL 2565,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2600,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 2620,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 2635,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 2650,"['ALC-AS', 'CA-AS']"
ALC,ENGL 2675,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2690,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2703,"['CA-AS', 'ALC-AS']"
ALC,ENGL 2707,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2715,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2725,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2730,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2735,"['CA-AS', 'ALC-AS']"
ALC,ENGL 2755,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2760,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 2780,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 2785,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2795,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2797,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2800,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2810,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2870,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 2880,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2890,"['LA-AS', 'ALC-AS']"
ALC,ENGL 2906,"['ALC-AS', 'CA-AS']"
ALC,ENGL 2909,"['CA-AS', 'ALC-AS']"
ALC,ENGL 2935,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,ENGL 2951,"['HA-AS', 'ALC-AS']"
ALC,ENGL 3021,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3080,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3110,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3120,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 3130,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3170,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3190,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 3240,"['CA-AS', 'ALC-AS']"
ALC,ENGL 3245,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3270,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3280,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 3290,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3320,"['CA-AS', 'ALC-AS']"
ALC,ENGL 3335,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3360,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 3390,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3440,"['CA-AS', 'ALC-AS']"
ALC,ENGL 3520,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3525,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3545,"['ALC-AS', 'CA-AS']"
ALC,ENGL 3550,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3565,"['CA-AS', 'ALC-AS']"
ALC,ENGL 3571,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,ENGL 3591,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 3615,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3625,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 3650,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3660,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 3670,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3675,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 3680,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,ENGL 3702,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3703,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3705,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3717,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3720,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3721,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 3725,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 3734,"['CA-AS', 'ALC-AS']"
ALC,ENGL 3741,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3742,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 3775,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3778,"['CA-AS', 'ALC-AS']"
ALC,ENGL 3795,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3805,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3820,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3830,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3840,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3850,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3890,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3910,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3913,"['LA-AS', 'ALC-AS']"
ALC,ENGL 3916,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,ENGL 3920,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,ENGL 3950,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 4020,"['KCM-AS', 'ALC-AS']"
ALC,ENGL 4030,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4210,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4260,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,ENGL 4270,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4315,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4405,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4425,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4509,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 4520,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4545,"['CA-AS', 'ALC-AS']"
ALC,ENGL 4556,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,ENGL 4560,"['ALC-AS', 'CA-AS', 'SCD-AS']"
ALC,ENGL 4565,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4605,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 4615,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4619,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4625,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4630,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 4635,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4645,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4660,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4700,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4705,"['ALC-AS', 'CA-AS']"
ALC,ENGL 4708,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4720,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 4765,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4800,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4801,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4810,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4811,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4820,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4850,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4910,['ALC-AS']
ALC,ENGL 4920,['ALC-AS']
ALC,ENGL 4960,"['LA-AS', 'ALC-AS']"
ALC,ENGL 4972,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,ENGL 4976,"['LA-AS', 'ALC-AS']"
ALC,ENVS 2010,"['CA-AS', 'ALC-AS']"
ALC,FGSS 2260,"['CA-AS', 'ALC-AS']"
ALC,FGSS 2350,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 2460,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 2501,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 2575,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,FGSS 2760,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 2780,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3130,"['LA-AS', 'ALC-AS']"
ALC,FGSS 3250,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3350,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3376,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,FGSS 3505,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3550,"['LA-AS', 'ALC-AS']"
ALC,FGSS 3565,"['CA-AS', 'ALC-AS']"
ALC,FGSS 3588,"['LA-AS', 'ALC-AS']"
ALC,FGSS 3591,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3655,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3681,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,FGSS 3693,"['CA-AS', 'ALC-AS']"
ALC,FGSS 3701,"['LA-AS', 'ALC-AS']"
ALC,FGSS 3702,"['LA-AS', 'ALC-AS']"
ALC,FGSS 3708,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3720,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3725,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 3740,"['LA-AS', 'ALC-AS']"
ALC,FGSS 4020,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 4153,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 4292,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 4312,"['CA-AS', 'ALC-AS']"
ALC,FGSS 4405,"['LA-AS', 'ALC-AS']"
ALC,FGSS 4451,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 4504,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,FGSS 4509,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FGSS 4560,"['ALC-AS', 'CA-AS', 'SCD-AS']"
ALC,FGSS 4645,"['LA-AS', 'ALC-AS']"
ALC,FGSS 4673,"['LA-AS', 'ALC-AS']"
ALC,FGSS 4675,"['CA-AS', 'ALC-AS']"
ALC,FGSS 4676,"['LA-AS', 'ALC-AS']"
ALC,FGSS 4701,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FREN 1720,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,FREN 2310,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FREN 2320,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,FREN 2350,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,FREN 2600,"['LA-AS', 'ALC-AS']"
ALC,FREN 3040,"['LA-AS', 'ALC-AS']"
ALC,FREN 3160,"['LA-AS', 'ALC-AS']"
ALC,FREN 3270,"['LA-AS', 'ALC-AS']"
ALC,FREN 3350,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,FREN 3460,"['HA-AS', 'ALC-AS', 'ETM-AS']"
ALC,FREN 3465,"['ALC-AS', 'CA-AS']"
ALC,FREN 3485,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,FREN 3531,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FREN 3580,"['CA-AS', 'ALC-AS']"
ALC,FREN 3645,"['CA-AS', 'ALC-AS']"
ALC,FREN 3660,"['CA-AS', 'ALC-AS']"
ALC,FREN 3695,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,FREN 3710,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FREN 3720,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,FREN 3730,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,FREN 3750,"['LA-AS', 'ALC-AS']"
ALC,FREN 3775,"['LA-AS', 'ALC-AS']"
ALC,FREN 3840,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,FREN 3850,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FREN 3921,"['LA-AS', 'ALC-AS']"
ALC,FREN 4030,"['CA-AS', 'ALC-AS']"
ALC,FREN 4065,"['LA-AS', 'ALC-AS']"
ALC,FREN 4230,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,FREN 4265,"['LA-AS', 'ALC-AS']"
ALC,FREN 4285,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,FREN 4368,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,FREN 4415,"['LA-AS', 'ALC-AS']"
ALC,FREN 4540,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
ALC,FREN 4695,"['CA-AS', 'ALC-AS', 'SCD-AS']"
ALC,FREN 4700,"['LA-AS', 'ALC-AS']"
ALC,FREN 4745,"['LA-AS', 'ALC-AS']"
ALC,FREN 4820,"['LA-AS', 'ALC-AS']"
ALC,FREN 4910,"['LA-AS', 'ALC-AS', 'GLC-AS']"
ALC,GERST 2000,"['ALC-AS', 'CA-AS']"
ALC,GERST 2020,"['LA-AS', 'ALC-AS']"
ALC,GERST 2040,"['ALC-AS', 'CA-AS']"
ALC,GERST 2060,"['ALC-AS', 'CA-AS']"
ALC,GERST 2700,"['ALC-AS', 'CA-AS']"
ALC,GERST 2703,"['CA-AS', 'ALC-AS']"
ALC,GERST 3070,"['LA-AS', 'ALC-AS']"
ALC,GERST 3075,"['LA-AS', 'ALC-AS']"
ALC,GERST 3080,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,GERST 3215,"['ALC-AS', 'CA-AS']"
ALC,GERST 3225,"['LA-AS', 'ALC-AS']"
ALC,GERST 3260,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,GERST 3290,"['ALC-AS', 'CA-AS']"
ALC,GERST 3310,"['CA-AS', 'ALC-AS']"
ALC,GERST 3330,"['LA-AS', 'ALC-AS']"
ALC,GERST 3350,"['LA-AS', 'ALC-AS']"
ALC,GERST 3512,"['CA-AS', 'ALC-AS']"
ALC,GERST 3515,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,GERST 3525,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,GERST 3535,"['LA-AS', 'ALC-AS']"
ALC,GERST 3550,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 3581,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,GERST 3610,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 3620,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 3642,"['LA-AS', 'ALC-AS']"
ALC,GERST 3770,"['LA-AS', 'ALC-AS']"
ALC,GERST 3800,"['LA-AS', 'ALC-AS']"
ALC,GERST 4002,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,GERST 4100,"['LA-AS', 'ALC-AS']"
ALC,GERST 4210,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 4211,"['LA-AS', 'ALC-AS', 'SCD-AS']"
ALC,GERST 4245,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 4250,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 4255,"['CA-AS', 'ALC-AS']"
ALC,GERST 4260,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 4285,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,GERST 4290,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 4312,"['ALC-AS', 'CA-AS']"
ALC,GERST 4351,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GERST 4375,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,GERST 4411,"['LA-AS', 'ALC-AS']"
ALC,GERST 4413,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,GERST 4471,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,GOVT 2006,"['CA-AS', 'ALC-AS']"
ALC,GOVT 3606,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GOVT 3636,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GOVT 3705,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GOVT 3736,"['KCM-AS', 'ALC-AS']"
ALC,GOVT 4015,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GOVT 4022,"['SBA-AS', 'ALC-AS']"
ALC,GOVT 4037,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,GOVT 4279,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GOVT 4356,"['CA-AS', 'ALC-AS']"
ALC,GOVT 4735,"['CA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GOVT 4769,"['LA-AS', 'ALC-AS', 'ETM-AS']"
ALC,GOVT 4786,"['LA-AS', 'ALC-AS']"
ALC,GREEK 2103,"['LA-AS', 'ALC-AS']"
ALC,GREEK 3120,"['LA-AS', 'ALC-AS']"
ALC,GREEK 4457,"['LA-AS', 'ALC-AS', 'HST-AS']"
ALC,HEBRW 1103,"['ALC-AS', 'CA-AS']"
ALC,HEBRW 2100,"['ALC-AS', 'CA-AS']"
ALC,HEBRW 3101,"['ALC-AS', 'CA-AS']"
ALC,HEBRW 3102,"['ALC-AS', 'CA-AS']"
ALC,HEBRW 4102,"['LA-AS', 'ALC-AS']"
ALC,HIERO 1451,"['CA-AS', 'ALC-AS']"
ALC,HIST 1620,"['CA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 1635,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 1650,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 1850,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2195,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2208,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2209,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2391,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2435,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2530,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2562,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2575,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2690,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2792,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 2885,"['CA-AS', 'ALC-AS']"
ALC,HIST 2958,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 3452,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 3616,"['LA-AS', 'ALC-AS']"
ALC,HIST 3677,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 4000,"['ALC-AS', 'HST-AS']"
ALC,HIST 4156,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 4195,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 4233,"['LA-AS', 'ALC-AS']"
ALC,HIST 4262,"['ALC-AS', 'HA-AS', 'HST-AS']"
ALC,HIST 4337,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 4520,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 4655,"['HA-AS', 'ALC-AS', 'HST-AS']"
ALC,HIST 4666,"['CA-AS', 'ALC-AS', 'GLC-AS']"
ALC,HIST 4673,"['HA-AS', 'ALC-AS', 'HST-AS']"
