Category,Department + Course Number,Distributions
CA,ANTHR 4476,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 4489,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4499,"['CA-AS', 'SSC-AS']"
CA,ANTHR 4513,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4520,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 4637,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ANTHR 4682,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ANTHR 4725,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4733,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ANTHR 4771,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ANTHR 4790,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,ARAB 1203,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARAB 2201,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARAB 2202,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARAB 3201,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARAB 3202,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARAB 3203,"['CA-AS', 'ALC-AS']"
CA,ARAB 3206,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARAB 4203,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ARKEO 1704,"['CA-AS', 'ALC-AS']"
CA,ARKEO 2285,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ARKEO 2465,"['CA-AS', 'GLC-AS', 'HST-AS']"
CA,ARKEO 2522,"['CA-AS', 'HST-AS']"
CA,ARKEO 2710,"['ALC-AS', 'CA-AS']"
CA,ARKEO 2743,"['CA-AS', 'ALC-AS']"
CA,ARKEO 2846,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ARKEO 3225,"['ALC-AS', 'CA-AS']"
CA,ARKEO 3230,"['CA-AS', 'GLC-AS']"
CA,ARKEO 3451,['CA-AS']
CA,ARKEO 3566,"['ALC-AS', 'CA-AS']"
CA,ARKEO 3588,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARKEO 3590,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARKEO 3738,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ARKEO 4005,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,ARKEO 4030,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ARKEO 4222,"['CA-AS', 'GLC-AS']"
CA,ARKEO 4227,"['CA-AS', 'SCD-AS']"
CA,ARKEO 4240,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARKEO 4256,"['ALC-AS', 'CA-AS']"
CA,ARKEO 4353,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARKEO 4460,"['CA-AS', 'SCD-AS']"
CA,ARKEO 4550,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARKEO 4618,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 1100,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 1704,"['CA-AS', 'ALC-AS']"
CA,ARTH 2101,"['ALC-AS', 'CA-AS']"
CA,ARTH 2221,"['CA-AS', 'ALC-AS']"
CA,ARTH 2355,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 2550,"['ALC-AS', 'CA-AS']"
CA,ARTH 2600,"['ALC-AS', 'CA-AS']"
CA,ARTH 2710,"['ALC-AS', 'CA-AS']"
CA,ARTH 2805,"['ALC-AS', 'CA-AS']"
CA,ARTH 3000,['CA-AS']
CA,ARTH 3225,"['ALC-AS', 'CA-AS']"
CA,ARTH 3451,['CA-AS']
CA,ARTH 3535,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 3565,"['ALC-AS', 'CA-AS']"
CA,ARTH 3566,"['ALC-AS', 'CA-AS']"
CA,ARTH 3590,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 3600,"['ALC-AS', 'CA-AS']"
CA,ARTH 3611,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 3620,"['CA-AS', 'ALC-AS']"
CA,ARTH 3625,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARTH 3650,"['ALC-AS', 'CA-AS']"
CA,ARTH 3651,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ARTH 3741,"['ALC-AS', 'CA-AS']"
CA,ARTH 3755,"['CA-AS', 'ALC-AS']"
CA,ARTH 3850,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4035,"['CA-AS', 'ALC-AS']"
CA,ARTH 4110,"['CA-AS', 'ALC-AS']"
CA,ARTH 4151,"['ALC-AS', 'CA-AS']"
CA,ARTH 4153,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ARTH 4154,['CA-AS']
CA,ARTH 4155,"['ALC-AS', 'CA-AS']"
CA,ARTH 4165,"['ALC-AS', 'CA-AS']"
CA,ARTH 4171,"['ALC-AS', 'CA-AS']"
CA,ARTH 4310,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4353,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4630,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4690,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4691,"['CA-AS', 'ALC-AS']"
CA,ARTH 4695,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ARTH 4702,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4771,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ARTH 4820,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4822,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ARTH 4852,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4854,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4855,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ARTH 4856,"['ALC-AS', 'CA-AS']"
CA,ARTH 4858,['CA-AS']
CA,ASIAN 2208,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ASIAN 2211,"['CA-AS', 'ALC-AS', 'HST-AS']"
